No.	Time	Source	Destination	Protocol	Length	Info
7825	44.936914200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7826	44.936915200	162.254.198.101	192.168.50.145	UDP	231	27028 → 47488 Len=189
7827	44.949183500	192.168.50.145	162.254.198.101	UDP	772	47488 → 27028 Len=730
7828	44.952216500	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7829	44.952217700	162.254.198.101	192.168.50.145	UDP	268	27028 → 47488 Len=226
7830	44.964469800	192.168.50.145	162.254.198.101	UDP	707	47488 → 27028 Len=665
7831	44.967914800	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7832	44.967915600	162.254.198.101	192.168.50.145	UDP	177	27028 → 47488 Len=135
7833	44.981427700	192.168.50.145	162.254.198.101	UDP	644	47488 → 27028 Len=602
7834	44.983604500	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7835	44.983605300	162.254.198.101	192.168.50.145	UDP	284	27028 → 47488 Len=242
7836	44.996135000	192.168.50.145	162.254.198.101	UDP	591	47488 → 27028 Len=549
7837	44.999238200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7838	44.999241100	162.254.198.101	192.168.50.145	UDP	135	27028 → 47488 Len=93
7839	45.011508100	192.168.50.145	162.254.198.101	UDP	591	47488 → 27028 Len=549
7840	45.014594900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7841	45.014595900	162.254.198.101	192.168.50.145	UDP	98	27028 → 47488 Len=56
7842	45.027053300	192.168.50.145	162.254.198.101	UDP	586	47488 → 27028 Len=544
7843	45.030063800	162.254.198.101	192.168.50.145	UDP	1272	27028 → 47488 Len=1230
7844	45.042361600	192.168.50.145	162.254.198.101	UDP	761	47488 → 27028 Len=719
7845	45.045777000	162.254.198.101	192.168.50.145	UDP	1247	27028 → 47488 Len=1205
7846	45.057796300	192.168.50.145	162.254.198.101	UDP	713	47488 → 27028 Len=671
7847	45.061638800	162.254.198.101	192.168.50.145	UDP	1260	27028 → 47488 Len=1218
7848	45.074611800	192.168.50.145	162.254.198.101	UDP	718	47488 → 27028 Len=676
7849	45.077374900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7850	45.077375800	162.254.198.101	192.168.50.145	UDP	107	27028 → 47488 Len=65
7851	45.089476000	192.168.50.145	162.254.198.101	UDP	694	47488 → 27028 Len=652
7852	45.093857200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7853	45.093858400	162.254.198.101	192.168.50.145	UDP	568	27028 → 47488 Len=526
7854	45.104464900	192.168.50.145	162.254.198.101	UDP	594	47488 → 27028 Len=552
7855	45.108867300	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7856	45.109120900	162.254.198.101	192.168.50.145	UDP	289	27028 → 47488 Len=247
7857	45.121974700	192.168.50.145	162.254.198.101	UDP	593	47488 → 27028 Len=551
7858	45.124616600	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7859	45.124619000	162.254.198.101	192.168.50.145	UDP	1232	27028 → 47488 Len=1190
7860	45.135764800	192.168.50.145	162.254.198.101	UDP	635	47488 → 27028 Len=593
7861	45.139983100	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7862	45.139984700	162.254.198.101	192.168.50.145	UDP	362	27028 → 47488 Len=320
7863	45.151703100	192.168.50.145	162.254.198.101	UDP	714	47488 → 27028 Len=672
7864	45.155694200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7865	45.155695400	162.254.198.101	192.168.50.145	UDP	368	27028 → 47488 Len=326
7866	45.168493100	192.168.50.145	162.254.198.101	UDP	768	47488 → 27028 Len=726
7867	45.170940100	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7868	45.170940900	162.254.198.101	192.168.50.145	UDP	220	27028 → 47488 Len=178
7869	45.182660900	192.168.50.145	162.254.198.101	UDP	777	47488 → 27028 Len=735
7870	45.186947000	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7871	45.186949900	162.254.198.101	192.168.50.145	UDP	582	27028 → 47488 Len=540
7872	45.198269200	192.168.50.145	162.254.198.101	UDP	739	47488 → 27028 Len=697
7873	45.202271000	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7874	45.202272400	162.254.198.101	192.168.50.145	UDP	88	27028 → 47488 Len=46
7875	45.214473700	192.168.50.145	162.254.198.101	UDP	657	47488 → 27028 Len=615
7876	45.222581600	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7877	45.222582600	162.254.198.101	192.168.50.145	UDP	1299	27028 → 47488 Len=1257
7878	45.223955500	162.254.198.101	192.168.50.145	UDP	734	27028 → 47488 Len=692
7879	45.229849700	192.168.50.145	162.254.198.101	UDP	694	47488 → 27028 Len=652
7880	45.234777900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7881	45.235051200	162.254.198.101	192.168.50.145	UDP	776	27028 → 47488 Len=734
7882	45.246217800	192.168.50.145	162.254.198.101	UDP	582	47488 → 27028 Len=540
